time,open,high,low,close,volume,prev_close,tr,max_20_donchian,min_20_donchian,max_10_donchian,min_10_donchian
2025-01-28 00:00:00+00:00,3.51500000,3.51500000,3.37300000,3.39300000,587,3.42500000,0.14200000,3.843,3.121,3.776,3.373
2025-01-29 00:00:00+00:00,3.39300000,3.44900000,3.37500000,3.44900000,590,3.39300000,0.07400000,3.843,3.13,3.776,3.373
2025-01-30 00:00:00+00:00,3.44900000,3.55800000,3.35900000,3.35900000,1545,3.44900000,0.19900000,3.843,3.131,3.776,3.359
2025-01-31 00:00:00+00:00,3.35200000,3.41700000,3.33600000,3.37700000,401,3.35900000,0.08100000,3.843,3.15,3.635,3.336
2025-02-03 00:00:00+00:00,3.40700000,3.57700000,3.39700000,3.49600000,1544,3.37700000,0.20000000,3.843,3.15,3.635,3.336
2025-02-04 00:00:00+00:00,3.42500000,3.52100000,3.42500000,3.48200000,325,3.49600000,0.09600000,3.843,3.15,3.635,3.336
2025-02-05 00:00:00+00:00,3.41300000,3.55400000,3.41300000,3.55400000,415,3.48200000,0.14100000,3.843,3.15,3.635,3.336
2025-02-06 00:00:00+00:00,3.56700000,3.61400000,3.52200000,3.59100000,426,3.55400000,0.09200000,3.843,3.261,3.633,3.336
2025-02-07 00:00:00+00:00,3.61900000,3.61900000,3.52100000,3.57500000,561,3.59100000,0.09800000,3.843,3.335,3.627,3.336
2025-02-10 00:00:00+00:00,3.60800000,3.66800000,3.55600000,3.64900000,1592,3.57500000,0.11200000,3.776,3.336,3.668,3.336
2025-02-11 00:00:00+00:00,3.65000000,3.76200000,3.61500000,3.72300000,2517,3.64900000,0.14700000,3.776,3.336,3.762,3.336
2025-02-12 00:00:00+00:00,3.73800000,3.75800000,3.69300000,3.72300000,1385,3.72300000,0.06500000,3.776,3.336,3.762,3.336
2025-02-13 00:00:00+00:00,3.74800000,3.86600000,3.70900000,3.75700000,2541,3.72300000,0.15700000,3.866,3.336,3.866,3.336
2025-02-14 00:00:00+00:00,3.80500000,3.86600000,3.76300000,3.82700000,1253,3.75700000,0.10900000,3.866,3.336,3.866,3.397
2025-02-17 00:00:00+00:00,3.82100000,3.82100000,3.72000000,3.72000000,594,3.82700000,0.10700000,3.866,3.336,3.866,3.413
2025-02-18 00:00:00+00:00,3.77500000,4.00300000,3.68000000,4.00200000,1677,3.72000000,0.32300000,4.003,3.336,4.003,3.413
2025-02-19 00:00:00+00:00,3.99900000,4.22300000,3.97100000,4.22300000,2140,4.00200000,0.25200000,4.223,3.336,4.223,3.521
2025-02-20 00:00:00+00:00,4.21300000,4.21300000,4.04800000,4.12500000,1545,4.22300000,0.17500000,4.223,3.336,4.223,3.521
2025-02-21 00:00:00+00:00,4.13400000,4.29900000,4.13400000,4.15400000,1586,4.12500000,0.17400000,4.299,3.336,4.299,3.556
2025-02-24 00:00:00+00:00,4.14900000,4.14900000,3.99000000,4.07000000,1548,4.15400000,0.16400000,4.299,3.336,4.299,3.615
2025-02-25 00:00:00+00:00,4.07400000,4.19400000,4.05400000,4.19400000,510,4.07000000,0.14000000,4.299,3.336,4.299,3.68
2025-02-26 00:00:00+00:00,4.19400000,4.23000000,4.17800000,4.17800000,816,4.19400000,0.05200000,4.299,3.336,4.299,3.68
2025-02-26 00:00:00+00:00,4.19400000,4.23000000,4.17800000,4.17800000,816,4.17800000,0.05200000,4.299,3.336,4.299,3.68
